id,name,title,model,type,status,price,slug,description,category_id,manufacturer_id,parent_id,created_at,updated_at
01k106mpmgnjpqh1893wdyeqwf,DJI Osmo Pocket 3 — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,250000,dji-osmo-pocket-3-basic-68832da890eb6,,,,01k106hh7aq636jvqb17qy0rh3,2025-07-25T07:09:28.000000Z,2025-08-06T14:20:41.000000Z
01jv77dxf28t3hr0ggqm7nyt38,Camera DSLR Canon 700D — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,125000,camera-dslr-canon-700d-68247890d3b45,,,,201809200019356880175,2025-05-14T11:03:44.000000Z,2025-08-06T14:20:02.000000Z
01jv77hbv2cn7rwb9rdcegvrad,Camera DSLR Canon 7D Mark II — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,275000,camera-dslr-canon-7d-mark-ii-68247901d9996,,,,201708241414580610110,2025-05-14T11:05:37.000000Z,2025-08-06T14:20:02.000000Z
01jv76f2b8fw54x2c079s0xke9,Camera DSLR Canon 1DX — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,600000,camera-dslr-canon-1dx-6824749e0e1b9,,,,201709221957471820226,2025-05-14T10:46:54.000000Z,2025-08-06T14:20:02.000000Z
01jv7754efje53stnaqnn1njzc,Camera DSLR Canon 77D — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,225000,camera-dslr-canon-77d-6824777119a61,,,,201711182022177670128,2025-05-14T10:58:57.000000Z,2025-08-06T14:20:02.000000Z
01jv77y1zk9teem3600jxj9dt2,Canon C100 Mark II Dual Pixel CMOS AF Cinema Camera — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,600000,canon-c100-mark-ii-dual-pixel-cmos-af-cinema-camera-68247aa1be774,,,,201803142039575950165,2025-05-14T11:12:33.000000Z,2025-08-06T14:20:02.000000Z
01jv79n0n97wwfycx74sdcwcbt,Camera Fujifilm X-T2 Mirrorless (Black) — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,250000,camera-fujifilm-x-t2-mirrorless-black-682481aaa2c55,,,,201706161845519750176,2025-05-14T11:42:34.000000Z,2025-08-06T14:20:02.000000Z
01jv78q7k7xefvxznpvv7wnh2f,Camera Fujifilm X-A3 Mirrorless — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,125000,camera-fujifilm-x-a3-mirrorless-68247ddab1ca4,,,,201708071611119820128,2025-05-14T11:26:18.000000Z,2025-08-06T14:20:02.000000Z
01jv7jrx8fvzs0devs0439e8j8,Camera Fujifilm X-A5 Mirrorless — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,150000,camera-fujifilm-x-a5-mirrorless-basic-6824a7076b793,,,,201807121839184540162,2025-05-14T14:21:59.000000Z,2025-08-06T14:20:02.000000Z
01jv72zx79h2tdx3fp6yg52aef,Camera Fujifilm X-T30 Mirrorless (Silver) — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,225000,camera-fujifilm-x-t30-mirrorless-silver-68246663895e3,,,,201903291651305400270,2025-05-14T09:46:11.000000Z,2025-08-06T14:20:02.000000Z
01jv78vhs6krkgz4011cxyj5t8,"Camera Fujifilm X-H2s Mirrorless (26MP, 6.2K30p, 4K120p, FHD 240p, 4:2:2 10-bit) — Basic",,PACKAGE,DEFAULT_PACKAGE,ACTIVE,500000,camera-fujifilm-x-h2s-mirrorless-26mp-62k30p-4k120p-fhd-240p-422-10-bit-68247e6838889,,,,202208031233545100238,2025-05-14T11:28:40.000000Z,2025-08-06T14:20:02.000000Z
01jv79fxr1d0p6pdm3akapygz8,Camera DLSR Nikon D610 (FF) — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,300000,camera-dlsr-nikon-d610-ff-68248103cd9f7,,,,201706010206241540163,2025-05-14T11:39:47.000000Z,2025-08-06T14:20:02.000000Z
01jv76aamz3qctqtagdya8k942,Camera DLSR Nikon D810 (FF) — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,400000,camera-dlsr-nikon-d810-ff-68247402afeb2,,,,201708231500260320149,2025-05-14T10:44:18.000000Z,2025-08-06T14:20:02.000000Z
01jv77a5nr9sc9r8b575a4ec2p,Camera DSLR Nikon D5500 — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,125000,camera-dslr-nikon-d5500-68247816313f8,,,,201706010206418410124,2025-05-14T11:01:42.000000Z,2025-08-06T14:20:02.000000Z
01jv76kzh5hnx0jm1kcwcj9gnt,Camera Panasonic Lumix GH4 Mirrorless M43 — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,300000,camera-panasonic-lumix-gh4-mirrorless-m43-6824753f03a9b,,,,201706010206255910117,2025-05-14T10:49:35.000000Z,2025-08-06T14:20:02.000000Z
01jv79r865xndggb9jkrz8jesp,"Camera Panasonic Lumix GH6 Mirrorless M43 (25.2MP, 5.7K Prores 422 HQ, 4K120p) — Basic",,PACKAGE,DEFAULT_PACKAGE,ACTIVE,450000,camera-panasonic-lumix-gh6-mirrorless-m43-252mp-57k-prores-422-hq-4k120p-68248214a58e0,,,,202206211646138120235,2025-05-14T11:44:20.000000Z,2025-08-06T14:20:02.000000Z
01jv76swxmccfcs2r3xa1ystst,Camera Pentax 645Z Medium Format (51.4MP) — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,750000,camera-pentax-645z-medium-format-514mp-68247600e7e92,,,,201706010206257320135,2025-05-14T10:52:48.000000Z,2025-08-06T14:20:02.000000Z
01jz9rsfa05tgdnyhc9bdtrbhj,RED Epic-X Super35mm Cinema Camera (PL-mount/EF-mount) — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,3000000,red-epic-x-super35mm-cinema-camera-pl-mountef-mount-basic-68674f09832d6,,,,201904142353363610341,2025-07-04T03:48:25.000000Z,2025-08-06T14:20:02.000000Z
01jv76002jncqfe244y6kw7t3z,Camera Sony A7S Mirrorless (FF) — Basic,,PACKAGE,DEFAULT_PACKAGE,ACTIVE,325000,camera-sony-a7s-mirrorless-ff-682472b03389d,,,,201706071901378320220,2025-05-14T10:38:40.000000Z,2025-08-06T14:20:02.000000Z
