id,package_id,order,product_id,product_type,type,quantity,created_at,updated_at
01k106qyw9z3yk0fq17yxd60az,01k106mpmgnjpqh1893wdyeqwf,0,01k106hh7aq636jvqb17qy0rh3,RentProduct,PARENT,1,2025-07-25T07:11:15.000000Z,2025-07-25T07:11:15.000000Z
01k106qyweagtet6j3as85zd6s,01k106mpmgnjpqh1893wdyeqwf,0,01k0zxr40q1sbnm4xb7xs03daz,RentProduct,CHILD,1,2025-07-25T07:11:15.000000Z,2025-07-25T07:11:15.000000Z
01k106qywj81jnfnben1h19mk4,01k106mpmgnjpqh1893wdyeqwf,0,01k106qe8nfxx8r77mjggtyvdy,RentProduct,CHILD,1,2025-07-25T07:11:15.000000Z,2025-07-25T07:11:15.000000Z
01jv7pfv35wzxexr4cccsyfgta,01jv77dxf28t3hr0ggqm7nyt38,0,201809200019356880175,RentProduct,PARENT,1,2025-05-14T15:26:56.000000Z,2025-05-14T15:26:56.000000Z
01jv7pfv39kbrjxbn7e5mt0v8e,01jv77dxf28t3hr0ggqm7nyt38,0,201712031459073790223,RentProduct,CHILD,1,2025-05-14T15:26:56.000000Z,2025-05-14T15:26:56.000000Z
01jv7pfv3dfcces0gcjrkzfd82,01jv77dxf28t3hr0ggqm7nyt38,0,201906181613535610157,RentProduct,CHILD,2,2025-05-14T15:26:56.000000Z,2025-05-14T15:26:56.000000Z
01jv7pfv3j5wxg060x9xzrwghw,01jv77dxf28t3hr0ggqm7nyt38,0,201706022106379960131,RentProduct,CHILD,1,2025-05-14T15:26:56.000000Z,2025-05-14T15:26:56.000000Z
01jv7pdg1fqze2w5smq67xr0nj,01jv77hbv2cn7rwb9rdcegvrad,0,201708241414580610110,RentProduct,PARENT,1,2025-05-14T15:25:39.000000Z,2025-05-14T15:25:39.000000Z
01jv7pdg1k8m9rn59pb75xas34,01jv77hbv2cn7rwb9rdcegvrad,0,201906141329435370310,RentProduct,CHILD,2,2025-05-14T15:25:39.000000Z,2025-05-14T15:25:39.000000Z
01jv7pdg1qv8ybh35qkp3hxeee,01jv77hbv2cn7rwb9rdcegvrad,0,201712031459073790223,RentProduct,CHILD,1,2025-05-14T15:25:39.000000Z,2025-05-14T15:25:39.000000Z
01jv7pdg1vk9wvpyvfjqeec1q7,01jv77hbv2cn7rwb9rdcegvrad,0,201706010205413410153,RentProduct,CHILD,1,2025-05-14T15:25:39.000000Z,2025-05-14T15:25:39.000000Z
01jv7petgjxdsbwc1n9y0bty99,01jv76f2b8fw54x2c079s0xke9,0,201709221957471820226,RentProduct,PARENT,1,2025-05-14T15:26:23.000000Z,2025-05-14T15:26:23.000000Z
01jv7petgp12sk555ms4zdxsyz,01jv76f2b8fw54x2c079s0xke9,0,201709222003049090257,RentProduct,CHILD,2,2025-05-14T15:26:23.000000Z,2025-05-14T15:26:23.000000Z
01jv7petgvps6m24321ms0sk4t,01jv76f2b8fw54x2c079s0xke9,0,201709222001134050270,RentProduct,CHILD,1,2025-05-14T15:26:23.000000Z,2025-05-14T15:26:23.000000Z
01jv7petgzm3t9hjeexe5g1ysh,01jv76f2b8fw54x2c079s0xke9,0,201706010205556690180,RentProduct,CHILD,1,2025-05-14T15:26:23.000000Z,2025-05-14T15:26:23.000000Z
01jv7pe6cga5mgk863p24xhw33,01jv7754efje53stnaqnn1njzc,0,201711182022177670128,RentProduct,PARENT,1,2025-05-14T15:26:02.000000Z,2025-05-14T15:26:02.000000Z
